"Divisie","FAO Code","omschrijving","totaal","jaar","type"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1240","Adressen",14555.93,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1250","Mutatieabonnementen",1022.55,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1300","Uittreksels online (inzage)",5991.65,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1301","Concernrelaties",116.6,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1302","in t kort",30.5,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1303","Historie",84.8,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1304","Uitreksels EGU",652.5,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1305","Deponeringen",95.4,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1306","Bedrijfsprofiel Uittreksels",1515.8,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1307","Bedrijfsprofiel concernrelaties",429.3,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1330","Inzien jaarrekening",375.15,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1332","VRIS",85.85,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1333","Bedrijfsprofiel jaarrekening",440.95,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1350","Overig online",442.25,"2016","Ministerie"
"Ministerie van Binnenlandse Zaken en Koninkrijkrelaties","1360","Dataservices",9282.95,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1250","Mutatieabonnementen",2777.4,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1300","Uittreksels online (inzage)",1616.5,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1301","Concernrelaties",137.8,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1302","in t kort",11,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1303","Historie",68.9,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1304","Uitreksels EGU",22.5,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1305","Deponeringen",21.2,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1306","Bedrijfsprofiel Uittreksels",1030.85,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1307","Bedrijfsprofiel concernrelaties",347.15,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1330","Inzien jaarrekening",103.7,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1331","Gewaarmerkte jaarrekening",15,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1332","VRIS",38.55,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1333","Bedrijfsprofiel jaarrekening",415.75,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1350","Overig online",36.6,"2016","Ministerie"
"Ministerie van Onderwijs, Cultuur en Wetenschap","1360","Dataservices",25924.6,"2016","Ministerie"
"Stichting NIWO","1250","Mutatieabonnementen",1725.12,"2016","ZBO"
