Gemeente,WWB I-deel Budget Definitief,WWB I-deel W.v. budget 65- Definitief,WWB I-deel W.v. budget 65+ Definitief,WWB I-deel Uitgaven Definitief,WWB I-deel W.v. uitgaven 65- Definitief,WWB I-deel W.v. uitgaven 65+ Definitief,WWB I-deel Ontvangsten Definitief,WWB I-deel W.v. ontvangsten 65- Definitief,WWB I-deel W.v. ontvangsten 65+ Definitief,WWB W-deel Budget Definitief,WWB W-deel Beschikbaar budget Definitief,WWB W-deel Uitgaven Definitief,WWB W-deel Ontvangsten Definitief,WWB W-deel Meeneemregeling Definitief,IOAW Budget Definitief,IOAW Uitgaven Definitief,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Definitief,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Definitief,Bbz Budget Definitief,Bbz Uitgaven Definitief,Bbz Ontvangsten Definitief,Bbz Rijksvergoeding Definitief
Appingedam,4076454,3970485.15641913,105968.635620963,4058540,3967631,90909,129951,129951,0,1924293,2287098,1377563,0,909535,52065,158889,1113,119167.5,8433,5312,0,3984,0,11921,4180,6037
Bedum,1139388,1139387.97405388,0,1222718,1214902,7816,35110,35110,0,581385,659718,399916,21988,281790,59928,103633,0,77723.25,9332,36368,0,27276,0,9835,4073,4712
Bellingwedde,1921135,1921135.15001789,0,1888118,1886673,1445,54510,54510,0,1074245,1173950,1044651,0,129299,52768,139697,0,104772.75,15470,31026,0,22470,4329,28909,17292,10553
Ten Boer,641470,641172.425652231,297.462371837,645096,645096,0,19556,19556,0,309363,360950,240217,0,120733,24249,96522,0,72392.25,4939,0,0,0,0,17152,2723,12223
Delfzijl,10405398,10195243.7886032,210153.830922886,10951143,10748709,202434,514820,468780,46040,5028165,5354705,4676171,0,678534,157699,531483,9172,398613,18274,42392,0,31794,12852,191512,58301,104187
Groningen,122719439,120994611.69882,1724826.89266896,115760716,114437396,1323320,4619165,4605349,13816,49790079,56875309,55165376,25779,1735712,513460,1504759,22538,1128570,118139,362237,40793,271677.75,167832,2363274,470638,1478483
Grootegast,1654430,1621287.26071487,33142.3770881706,1506284,1501537,4747,52422,52263,159,792554,1007633,412596,0,594415.5,31438,116814,282,87611.25,8547,18689,0,14016.75,23213,89813,44593,39624
Haren,1645139,1608132.18913493,37006.720098089,1810295,1761245,49050,100204,95739,4465,849640,941550,704460,0,237090,40107,132041,17135,99031.5,17942,54299,0,40724.25,6705,3587,0,3080
Hoogezand-Sappemeer,11659225,11357733.0876938,301492.119932602,13269963,13027019,242944,656866,653884,2982,5033115,5189086,5024783,0,164303,351834,488101,0,366076.5,21764,115101,0,86325.75,16325,319866,25194,228230
Leek,3300235,3244118.2919422,56116.3431426488,3101936,3059632,42304,73039,73039,0,1379482,1737140,1429304,19409,327245,70525,186145,5129,139609.5,27066,37447,0,28085.25,15743,93051,56473,28216
Loppersum,1617413,1613530.30781375,3883.017777657,2038758,2036621,2137,75672,75672,0,737247,821341,625346,0,195995,40739,127301,0,95476.5,7947,55032,5547,38650.5,6605,52351,14828,29295
Marum,1337662,1327457.17932008,10204.4266571885,1471949,1466217,5732,38976,38976,0,535066,698332,480358,0,217974,29734,96854,536,72641.25,17685,59967,0,43732.5,0,24878,1020,18346
Almere,49879624,48028781.0883524,1850842.89145735,53582879,51187710,2395169,1387401,1367509,19892,11086330,12457521,9046639,0,3410882,195792,660892,6786,495669.75,40355,243766,0,174964.5,24019,919364,122245,632094
