Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Appingedam,3049948,2923933.80804517,131972.706440234,3246386,3144392,101994,185160,185160,0,1858794.90546461,161857.495237186,2575586.36593314,2331546,161857,0,0,244040.365933144,31561,224519,1119,167550,1539,22692,0,17019,0,70057,9747,45974.25
Bedum,919127,910529.13868526,10393.337194594,1144399,1131149,13250,36601,35844,757,587409.245160017,95013.2267054341,982683.611291868,734612,92051,0,0,146852.311290004,14313,62508,609,46424.25,7355,24514,0,18385.5,2142,60189,21358,29799.9
Bellingwedde,1500592,1496263.52662458,7259.9358049276,2038205,2023580,14625,101539,90692,10847,1058412.78410287,130166.380164468,1308367.20383328,1073163,126108,123,0,195285.203833282,40936,116245,2779,85099.5,7845,428,0,321,5280,96161,17122,63520.2
Ten Boer,560377,405133.116704136,5072.375392018,508227,508227,0,53945,53945,0,339013.157052429,60261.26401669,563854.033696708,215749,54403,5532,0,84753.2892631072,9743,47007,0,35255.25,3596,0,0,0,48,184761,5892,134558.7
Delfzijl,7765967,7509444.34134796,271695.24580669,8630551,8371346,259205,346267,346267,0,4896560.69379546,363242.089382428,6669025.60067302,5939309,363242,0,0,729716.600673016,98867,398942,445,298872.75,18470,91043,0,68282.25,28187,424967,91905,257993.1
Groningen,98902099,97291347.6832667,1803990.36880205,108495092,106767811,1727281,3715543,3680916,34627,46560013,,77735006.4593658,66209705,0,893739,0,12419040.4593658,384045,1361354,23134,1003665,79857,289172,789,216287.25,588289,4826728,379247,3414570.7
Grootegast,1208480,1050943.86680472,0,1154838,1142494,12344,94870,94870,0,787117.394108035,146072.017851503,1124894.9260206,727801,146072,0,0,196779.348527009,21206,83672,1405,61700.25,12081,7663,0,5747.25,4898,157817,6178,116207.55
Haren,1687315,1601183.68554468,89428.0517357271,2107888,2013651,94237,57934,54949,2985,911250.672986096,142941.293378811,1461079.09208109,935117,143624,2645,0,227812.668246524,22406,42597,0,31947.75,952,14725,0,11043.75,1801,151417,35750,87522.45
Hoogezand-Sappemeer,10935220,10561644.2771708,394941.962928024,12837415,12408242,429173,522700,514099,8601,6251263.34727917,457505.011333449,5963728.25598441,6841604,549953,16693,16693,-964893.74401559,85370,327089,8449,238980,40609,147760,0,110820,38600,357063,26712,250795.8
Leek,2780591,2723014.54623205,63009.985684925,3408792,3330924,77868,280426,280426,0,1523483.87471629,228246.715326552,2299088.9900434,1835797,228943,2920,0,379409.990043405,31087,84527,0,63395.25,11991,30980,0,23235,26065,227546,63984,129536.85
Loppersum,1786385,1786487.5728542,3388.0508834087,2160940,2145542,15398,63766,63766,0,1054862.49094671,100438.15747588,1396985.3069242,1383241,137231,0,0,13744.3069241992,42895,94415,2458,68967.75,12484,5980,0,4485,24397,124188,38898,66555.6
Marum,1176279,1161115.47529431,17462.8921875333,1410082,1405355,4727,74536,74536,0,675125.659758343,112416.54650506,873494.478291309,815654,114492,126682,108912,2729.4782913093,10864,65129,671,48343.5,19750,58642,0,43981.5,0,72236,5060,53015.25
Almere,54481913,51068662.7092227,3519701.03382348,52894251,49452081,3442170,1300381,1298878,1503,27022459.25833,2674734.88469571,38470979.3393714,33976629,2674735,997080,0,6116615.33937135,137461,587383,4165,437413.5,59795,181094,157,135702.75,219007,4126377,403003,2866209.3
Stadskanaal,9213753,9136904.7885237,94849.660719163,9908578,9739510,169068,571751,541371,30380,5540565.30094217,423060.862620387,7078260.24223656,6481203,423061,35840,0,64398.2422365639,130170,350145,1494,261488.25,8258,13411,56,10016.25,116897,293611,89819,158848.8
Scheemda,2486662,2474017.9019898,17504.1211531868,3180811,3167222,13589,134118,134118,0,1371480.56995855,183358.499490974,1733888.1024846,1378273,183358,0,0,257085.102484599,31224,133973,0,100479.75,8369,7984,0,5988,20629,145283,54609,76159.05
Slochteren,1667917,1630092.8761223,41082.2390404445,1698646,1661555,37091,41318,0,41318,1002724.94708776,163539.604389639,1069132.86669303,1011954,163540,1868,0,59046.8666930264,21705,75007,0,56255.25,21534,55827,0,41870.25,18206,266940,75831,143672.4
Veendam,7053656,6947941.76722807,119496.093863501,8160041,7919690,240351,276930,272746,4184,4175725.03724607,380256.329632013,3999922.34939721,3874271,380256,11115,0,-496059.650602794,109029,363319,34,272463.75,11583,20837,839,14998.5,66810,413825,259275,129181.95
Vlagtwedde,1633123,1180340.7912969,31484.3783596358,1274505,1256702,17803,104035,793,103242,1490109.00923601,192325.651021578,1500954.04884803,2191832,192326,102644,0,-372527.252309003,24510,14917,461,10842,0,749,0,561.75,6492,43385,23399,16795.95
Zeewolde,1847553,1818479.81208291,32683.656213498,1992361,1941367,50994,96343,96343,0,850320.761638194,162043.446209467,1084449.33053853,883428,162043,0,0,187403.330538533,5960,87933,0,65949.75,8464,22217,0,16662.75,57093,390116,71938,247149.3
Skarsterlân,2541462,2342547.48272981,78661.2286169778,3038823,2958575,80248,163139,153520,9619,1439502.64110109,245331.038337995,1686047.05279754,1778615,245331,61069,0,-31498.9472024576,53994,197991,270,148290.75,23164,66198,0,49648.5,35157,219651,26084,152284.2
Winschoten,6254153,6117182.58409782,149189.437450483,8003201,7873950,129251,246085,246085,0,3378466.56618461,240279.553194086,4049261.84246123,3244887,240280,0,0,549104.842461225,68090,274615,0,205961.25,3836,18919,0,14189.25,20629,300967,112886,145499.85
Winsum,2004137,1997338.5130688,10713.4679867271,2271322,2266076,5246,75278,75278,0,1129157.45692301,125261.062211891,1248347.91571181,1122825,125261,0,0,125522.915711811,37124,75333,0,56499.75,0,14660,0,10995,14593,71371,29544,31911.6
Boarnsterhim,1994243,1942231.82479016,55906.4774261534,2300516,2245622,54894,66677,65784,893,1163816.7047425,154100.478235938,1809812.13759857,1580573,154100,2391,0,189088.137598569,66709,197132,3509,145217.25,13459,47355,0,35516.25,26836,232303,47558,144683.1
