Gemeente,Gebundelde uitkering,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Definitief,,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief,Bbz Lasten Voorlopig,Bbz Baten Voorlopig,Rijksvergoeding Voorlopig
Appingedam,3330505.96646396,3755225,144012,1761397.41028396,119335.155436618,2406364,119335,0,0,4108.3585972713,73045,21959,38678.55
Bedum,1106037.65869324,1360732,81126,544820.377405476,69949.4420698049,637413,70398,0,0,1678.5665408682,24030,8152,11969.5
Bellingwedde,2040168.52561188,2411383,63958,985324.280896115,91444.5076228112,688650,91445,0,0,5982.9353136968,409624,56585,271857.6
Ten Boer,593334.119105893,764276,10009,283669.086693988,46893.6697974221,262827,20970,0,0,3941.1810046541,13684,5000,6513
Delfzijl,8399226.55349219,9394310,238443,4482782.73033367,261852.292926917,6022504,261852,0,0,54611.7522173132,469860,241104,173733.3
Groningen,110674367.324635,121275791,3529828,49141792.1297336,1327828.85420727,55934399,1677031,1126220,0,506187.725872861,3195229,308824,2325685
Grootegast,1203301.92833872,1524041,64785,687217.458399815,105717.88447851,723201,105718,0,0,22172.5315761474,67567,29166,32169.15
Haren,1867454.35167741,2445206,30330,897569.893143409,104449.121757046,841358,105189,2138,0,6738.4187281763,42816,24916,14568.15
Hoogezand-Sappemeer,11548488.5446443,15696076,483229,5993453.66697564,339673.783716897,5216814,339674,0,0,30009.88741008,300315,35972,203502
Leek,3472513.60100864,3791604,163252,1391375.83472512,169309.884358264,1433088,176426,1667,0,15854.782251899,290652,38879,194487.15
Loppersum,2201427.03501596,2383692,100844,977360.005912769,74711.180149609,1280051,74711,1635,1635,7605.3875182572,81843,12577,53110.8
Marum,1495542.37463411,1831895,63856,633489.595278804,84870.6590899829,607610,84871,3000,0,1714.3916216442,46232,12249,26609.7
Almere,52973778.2863839,60326025,1307064,27410631.5639893,2017139.69194722,35127043,2017140,2365856,0,183522.588426365,2229592,531159,1326725.7
Stadskanaal,9803092.23980076,11523925,611795,5155738.86860375,312441.314249688,5752418,312347,5414,0,56280.7843680875,353531,51063,236110.65
Slochteren,1755793.21570103,2447691,34528,972718.869568264,120472.154917381,1005407,120472,26622,0,42205.528579879,526234,36779,370883.4
