Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,,w.v. besteding bij ROC Definitief,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief
Appingedam,3329723.00760382,3955674,76389,1643599.98645485,88573,1178831,88193,0,0,10939.9721591425
Bedum,1214935.49908557,1479452,26878,447220.082007525,53172,500189,52944,0,0,7052.1326081142
Bellingwedde,2171028.21311139,2430394,61109,912625.155711554,73127,1072431,72813,8269,0,6902.0916437388
Ten Boer,563115.350817577,840244,26078,286933.854752148,32729,279852,51000,0,0,35177.6464118452
Delfzijl,8878202.12898162,10207575,257398,4210126.65582234,204532,2920157,203655,0,0,44097.849183411
Groningen,113353839.388923,129694358,3538905,45382147.9396041,1023952,47326137,1418592,546955,0,594046.807653052
Grootegast,1207091.5652294,1733437,77827,499688.44233168,77164,563593,76784,0,0,31005.4919181113
Haren,2005722.86255002,2619944,124982,801848.829760714,76213,822861,76213,9805,0,30620.5954105253
Hoogezand-Sappemeer,12490148.5121641,16467045,423984,5125819.59059408,259625,4212468,236761,0,0,44030.5950345896
Leek,3451616.37128753,4139955,137835,1225540.00577832,122445,1274631,122445,1500,0,20835.3668478283
Loppersum,2256875.1085088,2546685,61613,1011353.7206221,54817,726663,54582,0,0,8899.3753895991
Marum,1527415.24309407,1718817,59603,590623.34321007,64397,527598,64397,2250,0,10222.4143260902
Almere,54520695.3925608,70586108,1476551,24921262.8183615,1572232,22191859,1565487,286038,0,536949.01764241
Stadskanaal,10188873.8631828,11941872,563322,4557920.69984986,241783,4454516,241783,74777,0,36988.2047025057
Slochteren,1868868.46902637,2622972,71313,732885.632632722,90563,344518,19293,0,0,33155.6870399249
Veendam,8290348.81010281,10575763,217811,3682897.72763158,217118,3965773,216187,37330,0,49222.8451367672
Vlagtwedde,1276277.89460246,1963281,84203,763145.444355792,112144,1055997,112144,46350,0,2259.7033512713
Zeewolde,2135662.59502705,2975780,65625,732088.607324113,90612,748581,90612,0,0,50646.0871223262
Skarsterlân,3236709.30069752,4488210,70477,1127825.14906825,142707,1205170,142095,141594,0,28256.3315722021
Winsum,2374308.01637014,3076504,92973,918021.765937962,66763,960206,66763,1620,0,4885.5216160054
Boarnsterhim,2488835.06557861,3094705,58815,976879.25926991,89948,1156667,89948,2289,0,32620.5828407603
Zuidhorn,1846517.85863554,2401408,72503,806406.803078936,93224,622727,93224,0,0,28016.2173628827
Dongeradeel,6020224.47350702,7031989,133811,2265452.3590017,154960,1873541,154960,24950,0,64540.6590845915
Achtkarspelen,6598145.26152615,8291325,391324,2395732.36301666,207239,2972054,207239,2413,0,80894.957474311
Ameland,54190.1574779727,60843,0,66679.1364638784,14056,13996,13996,0,0,0
het Bildt,2349419.6982271,2818685,49753,912435.88257693,84972,771745,84972,85655,0,10596.1626417711
Franekeradeel,4029943.56643538,5399424,107896,1511321.01014949,142609,1337013,142609,182719,0,59198.8231382417
Harlingen,4326495.30565921,5871423,126162,1666691.10704779,111919,1573592,111919,179263,0,17941.9288914025
Heerenveen,10426083.4974,12332909,309123,4276626.34762431,274768,3812245,274768,onjuist,onjuist,34174.8949386655
Kollumerland en Nieuwkruisland,2633687.52197103,3542116,570489,947569.530587869,94604,1291946,94198,741,0,23947.3255877008
Leeuwarden,45826505.9831527,60816770,1675950,20389035.0225759,598817,19107164,598817,0,0,285031.432583318
Leeuwarderadeel,1441653.35977553,1929443,40606,483045.883174628,50670,444468,50670,46842,0,30561.2225016563
Lemsterland,2788316.02428845,3153328,108374,825496.691300999,82358,805894,82358,3069,0,4907.3628796126
Ooststellingwerf,4477598.73238862,5864753,94536,1615337.00106879,165786,1543670,165786,5563,0,31159.0972397207
Opsterland,5394730.15279803,7056174,221605,1644288.82511132,173450,1797823,173450,81,0,63671.6363467264
Schiermonnikoog,26723.9377413855,71249,311,26883.1159892185,3991,24358,3991,863,0,0
Smallingerland,15683034.3778038,21742974,662681,6638887.15921955,343786,6709551,343786,66243,0,87849.5456563257
