Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Appingedam,3983648,4317572,82737,900495,87693,919514,87963,0,0,12410
Bedum,1428181,1532031,45247,306215,50185,297145,50185,0,0,4180
Bellingwedde,2594530,2523487,90538,531203,72124,413666,0,5306,0,63694
Ten Boer,796250,815760,17283,156546,31314,162660,34024,0,0,2405
Delfzijl,9850949,10626417,216293,2264868,197085,2362695,197085,0,0,80035
Groningen,126716545,134571779,3429774,24790143,960084,34076187,1040235,433405,0,428780
Grootegast,1590661,1805596,42849,331839,68329,327714,68329,0,0,7928
Haren,2568200,2536908,64749,422967,73197,724930,43093,13756,0,6185
Hoogezand-Sappemeer,15773196,16563943,388676,3210259,244304,3549659,242469,0,0,46632
Leek,3917726,4541080,169873,711423,106244,835766,106244,1834,0,44451
Loppersum,2505393,2535214,90661,572141,54342,617788,54342,0,0,13022
Marum,1906624,1935773,25226,333383,57156,352053,57156,3750,0,6810
Almere,70254969,75714193,1623974,14663231,1532563,16552506,1532563,916432,0,329848
Stadskanaal,11936099,12253302,440825,2580880,233248,3302730,231495,209636,0,51281
Slochteren,2544149,2675009,176789,468179,92443,367509,92443,0,0,88037
Veendam,9886628,10871090,364729,2168208,209132,2737201,19032,231554,0,99001
Vlagtwedde,1773859,2216291,88975,537998,106823,1004628,106823,147212,0,6372
Zeewolde,2714325,3177837,63849,458997,90022,594614,90022,50039,0,77472
Skarsterlân,4120992,4775908,66229,787338,140089,763096,139649,7950,0,48563
Winsum,3069821,3005998,169832,521535,61264,551747,61264,1350,0,18716
Boarnsterhim,2660233,3846811,61921,609781,88254,698353,88254,0,0,72782
Zuidhorn,2104132,2466518,46684,459041,89956,619037,89956,0,0,10758
Dongeradeel,6446351,7610779,105158,1369177,146420,1216969,146420,7589,0,83621
Achtkarspelen,9300359,9089533,269110,1547770,199428,1611314,199428,1740,0,58397
Ameland,55290,119384,4030,35638,18409,85328,18409,0,0,0
het Bildt,2800590,3039054,85660,610227,79941,847854,79941,16800,0,25041
Franekeradeel,4926595,6114551,107769,961218,139775,1276286,139775,20929,0,47258
Harlingen,5327384,6452018,119540,993554,109853,1392886,109853,71072,0,18056
Heerenveen,12537998,14180135,297405,2343376,269073,2490538,267052,2343376,269073,68939
Kollumerland en Nieuwkruisland,3415635,3580765,90034,602191,85575,0,0,0,0,46909
