Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,Baten w.v. bij ROCs Voorlopig,Bbz Budget Definitief
Appingedam,4349485,5079602,142138,845120,16414,828893,16414,,3611
Bedum,1621945,1742884,46277,253143,18229,258875,18607,468,635
Bellingwedde,2635175,2617691,47370,473206,13851,594581,13851,6000,14559
Ten Boer,920805,1076534,16934,137108,5221,76896,5214,0,2352
Delfzijl,11227465,12193447,317645,1970830,42326,2035844,42326,0,22729
Groningen,144127806,149173758,3326330,23373389,241138,23064635,243890,166586,221723
Grootegast,1933818,1984507,18472,312089,36367,330330,36319,14000,4446
Haren,2866983,2895794,34401,446902,61837,432561,0,,4007
Hoogezand-Sappemeer,17526873,18241929,566196,3244480,141166,3147240,140981,,51021
Leek,4644860,4927258,99466,659366,56010,673825,56010,,1840
Loppersum,2738479,2839059,125186,521271,9000,494112,9000,,11472
Marum,1889764,2097766,19297,309550,22938,318541,22938,,3548
Almere,86089496,82052867,1632864,12514688,1122664,14312613,1121191,,240905
Stadskanaal,13478753,13359013,434318,2436575,104617,2454812,104617,,49974
Slochteren,2862719,2921168,55484,421860,16000,404161,5174,,23592
Veendam,11820934,11437179,220063,1851100,42799,2301617,242743,,62495
Vlagtwedde,2160761,2657489,67526,465086,36595,846162,36547,,3736
Zeewolde,3329735,3359768,32986,416932,26105,518509,26105,,58271
Skarsterlân,5058870,5586998,67601,683575,23821,740514,40405,,16476
Winsum,3344672,3298212,120623,479951,9897,570663,9897,,15237
Boarnsterhim,3420186,4930516,85549,530543,14066,441149,14066,,21816
Zuidhorn,2648548,2658780,39391,433239,51343,431135,51310,,18974
Dongeradeel,7804068,8317934,134101,1107047,40814,1223399,40814,,10644
Achtkarspelen,9045550,9808688,400580,1382875,63448,1176144,63448,,24365
Ameland,66523,137686,938,15937,3925,84510,3919,,0
het Bildt,3044941,3510754,68173,461894,14545,469176,14545,,16224
Franekeradeel,5794408,6840839,140120,845442,23055,813945,23055,,24731
Harlingen,6427753,7050370,127197,898088,19576,940139,19576,,16916
Heerenveen,14906910,16529957,282996,2101364,87865,2220554,89771,,25029
Kollumerland en Nieuwkruisland,3928982,4218366,77141,491911,23140,449664,23110,,5494
Leeuwarden,63702541,72804468,1933746,10976999,156887,10642826,156887,,139084
Leeuwarderadeel,2122487,2485592,31280,297609,8621,297033,8621,,10797
Lemsterland,3440254,3999990,57159,549332,24948,385512,28913,,10624
Ooststellingwerf,6450782,7443909,160168,1024361,75105,997076,75105,,60342
Opsterland,7767643,7773688,167871,1213921,145562,1143454,145371,,45601
Schiermonnikoog,76049,129083,5017,13081,1069,22741,0,,0
Smallingerland,23122386,25506013,513309,3813221,105167,3660871,105167,,50689
Terschelling,260401,307553,4062,44638,5577,41299,5577,,2241
Vlieland,40226,62764,1870,17917,1263,10554,1263,,0
Weststellingwerf,6014534,6857611,117792,928719,43417,874051,43417,,13836
Assen,26835063,26178093,866081,4901178,285103,4643596,0,,234844
Coevorden,11873671,12043325,236863,1967042,133152,2357141,132977,,28728
Emmen,47538526,50125176,1004175,8110245,673129,8921527,672246,,60724
Hoogeveen,18303328,16647055,368681,3367508,311220,3371385,310812,,72430
Meppel,9587412,9447809,192573,1424889,223177,1498838,222884,,34210
Littenseradiel,1287429,1790032,65463,238042,9194,171002,9194,,8731
Almelo,34746922,35913226,874053,6176644,260348,5732269,191359,,96875
Borne,2866867,3734902,40344,405997,88992,487308,88875,,10989
Dalfsen,1821194,2134067,29357,236796,64232,374995,65754,,3848
Deventer,37140071,35386454,749649,4837490,235723,5225065,235200,,169616
Enschede,83149168,91404315,1209463,16637910,1154662,17110450,1330355,,317908
Haaksbergen,3859813,4052048,61572,426957,61280,426957,61280,,58586
Hardenberg,10474438,10746776,202034,1510068,195027,1630000,195420,,98747
Hellendoorn,5487324,5369016,121342,737264,38771,861194,38720,,68235
Hengelo,29417029,29758978,1450476,5068128,169446,5303943,169223,,198406
Kampen,9436994,9467489,210838,1235209,97196,985076,97068,,43186
Losser,3970100,4437137,88550,595384,185264,509121,143648,,53697
Noordoostpolder,10409483,10012056,136913,1479241,129569,1734994,120480,,35662
Oldenzaal,7617555,7453740,177710,1243056,178120,1245693,177000,,45282
Ommen,2312771,2584230,24672,202565,20787,392820,20787,,2833
Raalte,4854978,4144756,121265,571352,129473,517919,129473,,11754
Staphorst,1188094,1314502,5713,120761,39457,138646,39405,,1803
Tubbergen,1529253,1670081,22675,222151,64567,272669,64483,,30881
Urk,1507685,1392180,44568,228632,38264,208732,38264,,71718
Wierden,2720667,2727795,49126,358167,79129,401531,79025,,18302
Zwolle,47159915,42506737,956783,6579765,208375,,,,113180
Rijnwaarden,2215595,2476004,41281,371837,59118,372537,59118,,2033
Aalten,3014138,3995037,56331,469459,94012,685468,94012,,62625
Apeldoorn,41859276,45973375,1383698,7006593,399038,6831427,399038,,76067
Arnhem,95474091,95416931,2517388,15406719,570232,16183868,570232,,164222
Barneveld,5937543,5800181,139185,979377,166908,774622,165715,,58495
Beuningen,4139857,4672744,81827,657294,76952,642657,76852,,37237
Brummen,3326145,3672208,146804,463765,40605,554969,56722,,3396
Buren,2151751,2445973,89333,276707,30496,409026,30456,,41670
Culemborg,7226169,7611811,293080,811039,44424,557076,4141,,34924
Doesburg,4118898,4319035,79250,555966,26724,563325,26724,,5577
Doetinchem,14331122,14791949,359103,2475971,67243,2784593,67154,,47181
Druten,2574486,2907703,55425,365756,24579,300366,24500,,28635
Duiven,4388390,5097731,108785,646352,57202,662820,57202,,811
Ede,19721975,21164045,656679,3275506,293315,3917898,297395,,88749
Elburg,2585821,2804550,93817,348088,74265,378176,74861,,19043
Epe,5086968,5770092,151542,851657,67419,866128,67330,,15821
Ermelo,3553311,3806523,53178,442233,65403,541459,65403,,17357
Geldermalsen,2770361,2944419,74610,337666,28697,294698,28697,,15385
Groesbeek,4135008,4457369,141433,645779,117656,766023,117656,,15571
Harderwijk,9337296,10279972,132174,1476515,166839,1525499,236652,,23536
Hattem,1360112,1472020,59713,154143,17865,178607,17865,,20223
Heerde,1919190,2210057,22400,209517,26506,249078,26471,,14788
Heumen,2546779,2784330,64759,382919,30394,388363,30394,,23841
Lochem,4381241,4757424,176078,519907,39872,562672,39872,495,50037
Maasdriel,2183015,2461250,66120,337432,57576,366548,57501,1540,74506
Millingen aan de Rijn,1317541,1478178,23452,213210,53592,245506,53592,0,2121
Nijkerk,4159588,3676534,143861,459714,90745,896109,90745,47184,19237
Nijmegen,95133736,97988276,2384632,15080802,621332,16444377,633330,946847,150487
Oldebroek,2076208,2412485,36317,284082,65081,310636,65081,0,20166
Putten,2213951,2450008,88376,316892,78412,310650,78412,25902,19841
Renkum,7172741,7631985,130119,882533,72458,880786,72458,836,15474
Rheden,11553475,12491106,351614,1773379,161320,1727817,161320,0,36861
Rozendaal,62646,50894,3025,9910,2438,0,2438,0,0
Scherpenzeel,442162,743542,34296,91433,44583,112285,31025,0,28470
Tiel,13738007,15831964,244599,2372866,101129,2421199,0,9024,23272
Ubbergen,1825094,2339482,153437,294758,65105,265854,65106,4000,18800
Voorst,2900087,3109046,86050,322307,22085,254834,22056,0,15481
Wageningen,10073545,8723305,335649,1822391,390041,1949166,389529,30122,20000
Westervoort,4617650,4972637,92991,622208,62193,649797,62193,27589,11457
Winterswijk,7533940,7819691,259459,1272405,345952,1637693,345952,45155,31713
Wijchen,8628601,8641355,188946,1041855,158288,1143455,158288,3251,48677
Zaltbommel,3440975,3751298,98293,471452,44392,483179,44392,181,45243
Zevenaar,7206816,7670404,143223,962612,86869,998903,86869,36291,7430
Zutphen,17168629,17468484,643453,2670520,85153,,,,107425
Nunspeet,2765703,3323674,49916,386224,86978,447509,86978,35607,53766
Dronten,9619132,8438007,170902,1486036,80726,1603620,80620,12157,40146
Neerijnen,1034902,1383759,27959,141272,16282,99678,0,200,1512
Amersfoort,44888450,41615619,981304,6231864,420315,4705093,419763,0,86597
Baarn,4405469,4305793,102956,428862,44088,420067,44030,0,8014
De Bilt,6128809,6636012,113769,740622,36976,911155,36976,229,10702
Bunnik,1090981,1279133,22285,128090,12711,122878,12711,0,3633
Bunschoten,1607035,1725677,36587,184108,29916,221749,29916,18766,4727
Eemnes,861157,1025487,23856,115032,29094,102084,29094,0,2651
Houten,4922450,5743024,325637,505121,54380,640358,66111,6750,27809
Leusden,2577979,2891275,54187,282306,58036,338013,57782,0,4244
Lopik,1061391,1309891,43042,127261,19606,120916,0,585,0
Montfoort,1126061,1233140,29523,125744,25849,164942,25815,2147,0
Renswoude,367686,424117,63922,42711,12825,35876,12808,0,0
Rhenen,2984730,3332335,98125,315335,33729,269617,33682,0,10907
Soest,8928983,8575373,207593,1360990,104481,1114735,104304,2295,25867
Utrecht,132660902,128492251,5303197,18674020,1164002,19162932,1164002,0,282827
Veenendaal,16242172,17824671,487382,2920779,260266,2198289,259925,0,17302
Woudenberg,675890,862196,16504,159243,77351,223387,77431,0,4017
Wijk bij Duurstede,2682385,2846350,130823,260685,41392,233621,41392,0,10784
IJsselstein,5198262,5682776,119985,691502,69812,622239,69721,5121,20511
Zeist,15548226,14967079,401117,2128911,136235,2052535,136235,3063,12524
Nieuwegein,15149220,14919572,264421,1952947,151192,1882755,130222,57923,35316
Aalsmeer,2453061,2312639,59540,290915,49307,280478,49648,1750,22302
Alkmaar,30178963,29206686,1153646,4490815,603178,3339466,602386,25901,56761
Amstelveen,15045375,12117166,586678,2146759,164424,2070308,161522,0,40240
Amsterdam,601472885,590879122,13875600,95606601,2751399,107544633,2750000,6717876,682707
Graft-De Rijp,414147,499801,499,53420,4798,22830,4798,0,2148
Beemster,721700,807818,24667,76078,8103,20860,0,0,1024
Bergen (NH.),3328768,3727938,180905,477068,123885,441524,123877,0,11888
Beverwijk,11923892,12195336,330831,1554366,84382,1554366,320000,9394,23808
Blaricum,998998,1232960,40387,143615,28471,167676,28471,0,2759
Bloemendaal,2306740,2317866,127962,296300,21460,234840,21432,158,12813
Bussum,6438840,6667609,95793,952874,128446,1213220,128446,138331,17389
Castricum,2894490,3493131,35038,194723,43508,439845,43508,0,3483
Diemen,6826518,6610815,144111,866157,76428,991149,76328,0,39364
Edam-Volendam,2630794,2766469,63912,511977,221438,445177,129679,32430,390
Enkhuizen,3671501,4249094,51770,386105,87191,492056,87191,300,3001
Haarlem,51533492,45874591,1578667,7103575,616083,7323568,616083,0,164831
Haarlemmerliede en Spaarnwoude,795472,733877,7413,103177,8133,48407,8123,764,1659
Haarlemmermeer,24987302,21904202,677065,2977499,329727,3251453,544039,256,105565
Heemskerk,9629170,10491142,219472,1336852,59203,1488093,61176,0,21945
Heemstede,3059922,2940419,169110,476342,28209,345405,28172,705,7381
Heerhugowaard,8116523,9363818,234501,1043736,158828,1266130,158640,6733,19228
Heiloo,2382679,2693249,95665,223535,30196,249830,30196,549,17375
Den Helder,24864214,23747087,648078,3931148,187759,3995057,187759,2535,26166
Hilversum,26193265,24779676,416720,3936250,380021,3973778,380021,1074256,103627
Hoorn,19254269,18802967,430136,3052125,478201,3202823,358651,157433,39708
Huizen,8477784,8550018,144706,1395724,206777,1511022,206777,2700,29193
Landsmeer,1076843,1257419,12803,171071,49845,175669,35968,15727,1137
Langedijk,2815129,3103052,47152,301092,42338,518868,42338,997,7353
Laren,1014268,1209186,14724,134224,29110,168709,29110,20,23182
Medemblik,4799843,5574879,88345,504815,50748,477623,50748,0,39164
