Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Appingedam,4782692,5874923,176145,659008,35992,2361,33339,0,14305,0,0,3738,17824,0
Bedum,1694682,1985344,63755,210720,12332,2647,14691,8300,2542,0,0,0,575,0
Bellingwedde,2636913,3070065,34108,432805,36140,10081,7359,0,4044,0,0,0,20125,0
Ten Boer,897187,1310678,43842,111434,8219,3612,40571,0,0,0,0,7669,4790,0
Delfzijl,11652045,13931780,426695,1627962,116915,16494,54807,242000,24862,0,0,7378,59582,0
Groningen,152590449,157533731,3562342,19430631,765508,203715,1846522,727969,190476,29487,3076,140571,468940,10035
Grootegast,2015635,2254609,48448,274431,37170,1434,0,0,13272,0,0,0,48813,0
Haren,2848192,3374477,65602,368380,21201,19896,96822,28000,6900,0,0,2978,52102,0
Hoogezand-Sappemeer,17715619,18472359,560958,2475690,154310,21237,112169,154142,24196,0,0,0,72208,0
Leek,5184690,5211771,123287,603425,65901,42292,58833,125453,77991,0,0,3751,74473,0
Loppersum,2763476,3278051,109757,378441,15790,858,0,0,4344,0,0,0,16624,0
Marum,2149182,2450608,44995,258661,25421,6157,20435,43873,15151,0,0,2780,12491,0
Almere,89422638,89071667,1636688,10432898,937847,70753,1028000,863303,966142,0,0,92251,453395,0
Stadskanaal,14143141,13624508,427996,1936547,127468,36439,174126,36000,64757,0,0,18376,88097,0
Slochteren,2973107,3226878,108677,370302,31166,15501,141584,25680,10860,0,0,0,97763,0
Veendam,12244103,12418750,307507,1764004,125810,34169,240046,16639,148268,0,0,84861,113066,0
Vlagtwedde,2449404,3254956,58477,398514,44015,5959,15604,54300,5084,0,0,0,22768,0
Zeewolde,3548683,3699077,117381,384287,37193,7236,96538,110000,92015,0,0,9263,93823,0
Winsum,3287159,3724407,88906,435974,29815,11366,76800,38900,8088,0,0,4787,45886,0
