Gemeente,Gebundelde uitkering budget definitief,Lasten,Baten,Bbz Budget definitief
Appingedam,5155594,5997572,179048,3330
Bedum,1742859,1949674,56408,4205
Bellingwedde,2621863,3126142,49761,5804
Ten Boer,1083132,1370385,55739,6180
Delfzijl,12651749,13360402,423366,5087
Groningen,164765059,155845208,3892561,247136
Grootegast,2017646,2150421,35836,27343
Haren,3114818,3467801,60176,10640
Hoogezand-Sappemeer,20222933,17654057,391830,25457
Leek,5141899,5253967,102103,21597
Loppersum,2839346,3215314,175087,4411
Marum,2133724,2377765,88586,5080
Almere,89080383,83468432,1293693,161973
Stadskanaal,14646367,13229017,412390,39424
Slochteren,2952964,3226412,67537,17388
Veendam,11817252,12480514,313376,39639
Vlagtwedde,2673601,3633561,152094,1220
Zeewolde,3577459,3693787,121084,8575
Winsum,3292748,3773074,83932,6236
Zuidhorn,2821723,2989144,47210,11370
Dongeradeel,8625912,8554362,208364,17129
Achtkarspelen,10022515,9864332,517786,43795
Ameland,141232,196995,3443,0
het Bildt,3554754,3803359,53060,1615
Franekeradeel,6983010,7305294,206484,7436
Harlingen,7114341,7565783,93552,8075
Heerenveen,16985663,19353512,301185,26464
Kollumerland en Nieuwkruisland,4292127,4445069,96032,5746
Leeuwarden,73929360,79906140,2043166,85495
Leeuwarderadeel,2497485,2363080,33789,2687
Ooststellingwerf,7614225,8113773,526929,18618
Opsterland,7492555,8510031,183603,27008
Schiermonnikoog,128415,120945,3000,0
Smallingerland,23687959,25341852,482358,43490
Terschelling,313210,340431,5390,1274
Vlieland,64867,84627,1200,27540
Weststellingwerf,7163964,6313387,145778,5661
Assen,26163247,27313520,972146,71139
Coevorden,11015526,12095669,233893,18585
Emmen,45869943,51180293,991333,55042
Hoogeveen,16695932,17651365,500955,77182
Meppel,9749279,10870096,1573020,18318
Littenseradiel,1816734,1922110,41142,5192
Almelo,35683551,37312175,964333,40112
Borne,3885431,3850828,98701,8932
Dalfsen,2380191,2761710,82911,9637
Deventer,34377175,38602296,595722,61685
Enschede,89586736,96383777,1733349,165581
Haaksbergen,4118805,4976105,186043,43448
Hardenberg,11666128,11436284,174101,74402
Hellendoorn,5604434,5835626,122878,26669
Hengelo,31244252,31271275,873342,88320
Kampen,10790064,9955285,259171,41327
Losser,4573468,5234090,130255,24940
Noordoostpolder,11323749,11343227,219039,33132
Oldenzaal,7996544,7591708,80871,20174
Ommen,2648829,2738693,38030,6147
Raalte,5020718,4838613,151359,16530
Staphorst,1347720,1593259,30207,1553
Tubbergen,1898555,1853947,48053,19845
Urk,1487446,1417117,70795,12218
Wierden,2944599,2798430,93374,17935
Zwolle,42721515,46047246,1104862,67702
Rijnwaarden,2490025,3338976,46579,6387
Aalten,4325128,4159955,89388,11967
Apeldoorn,40561210,48094187,1544001,31422
Arnhem,88920671,102655257,1891379,86042
Barneveld,6316947,6843499,148098,47698
Beuningen,4908799,5386370,153591,5686
Brummen,3793022,4094453,306472,8877
Buren,2674192,2638838,13697,11395
Culemborg,7485088,7927724,168855,12462
Doesburg,4347994,4665904,70205,4485
Doetinchem,13840681,16366944,204145,12677
Druten,3010123,3513865,46425,6308
Duiven,5328627,5901800,123315,4762
Ede,19639346,23506695,646310,28809
Elburg,2989280,2954165,153376,24687
Epe,5629407,5823983,156066,15140
Ermelo,3680378,4343277,73224,10818
Geldermalsen,3091302,3261195,41568,10603
Groesbeek,7881487,9718887,208865,42975
Harderwijk,10419020,11337495,305663,7896
Hattem,1482329,1532618,51034,1481
Heerde,2278265,2117310,23308,623
Heumen,2792161,3055089,190660,28775
Lochem,4601992,5697483,171606,28781
Maasdriel,2725537,3107941,84606,10261
Nijkerk,4595741,4229126,135354,9884
Nijmegen,93210789,101298546,2029765,99166
Oldebroek,2519347,3167433,32817,10633
Putten,2550297,2897771,94030,16231
Renkum,7020965,8017551,179707,12955
Rheden,11804625,14045235,399008,53173
Rozendaal,51707,57252,17412,8054
Scherpenzeel,765768,797098,28014,1339
Tiel,14747825,17250974,372263,26757
Voorst,3159554,3715439,103157,6624
Wageningen,9650651,8616697,188167,8233
Westervoort,5011948,5497000,67910,6465
Winterswijk,7491404,8300870,366269,4006
Wijchen,8561782,9599490,194852,30119
Zaltbommel,3791038,4578265,175420,19825
Zevenaar,7834732,8902111,243836,9915
Zutphen,16807413,21557209,522471,55167
Nunspeet,3433136,3760034,55230,14363
Dronten,8351540,8648798,143084,24337
Neerijnen,1402558,1565488,42159,10054
Amersfoort,40573391,44919942,815780,41783
Baarn,4125943,4782642,86661,10909
De Bilt,6001462,7799457,211271,11736
Bunnik,1298935,1632735,105217,17893
Bunschoten,1824952,1986525,61343,1735
Eemnes,1031981,1038586,24345,6656
Houten,6282283,6598866,227069,13961
Leusden,3084543,3506224,77916,4828
Lopik,1336268,1602831,132129,398
Montfoort,1256120,1306654,11452,83
Renswoude,429296,430527,4911,0
Rhenen,3355606,3994795,158910,14374
Soest,8098342,9957284,314261,10263
Utrecht,121740430,141211009,4656197,185793
Veenendaal,16386264,,,37147
Woudenberg,878601,1267657,5918,23051
Wijk bij Duurstede,3021660,3623545,117948,5950
IJsselstein,6376123,6521050,142064,5947
Zeist,14561804,17584003,545469,15680
Nieuwegein,16222298,17005246,458707,19214
Aalsmeer,3112364,2958267,86942,11067
Alkmaar,33936442,32938849,773221,35527
Amstelveen,18222147,13717025,599612,19957
