Gemeente,Gebundelde uitkering Voorlopig budget,Bbz Voorlopig budget
Appingedam,5531065,3531
Bedum,1848671,2435
Bellingwedde,2998473,779
Ten Boer,1224427,4297
Delfzijl,12843831,31436
Groningen,146075919,272673
Grootegast,2087713,0
Haren,3193012,13220
Hoogezand-Sappemeer,19362298,28206
Leek,4898211,19518
Loppersum,3060272,0
Marum,2289532,6811
Almere,85817259,200314
Stadskanaal,13246077,22255
Slochteren,3012321,17715
Veendam,12179339,27186
Vlagtwedde,3169441,7404
Zeewolde,3697195,21875
Winsum,3419612,12254
Zuidhorn,2867172,21864
Dongeradeel,8489142,12305
Achtkarspelen,9936661,16575
Ameland,121066,269
het Bildt,3502269,4468
Franekeradeel,7019994,12865
Harlingen,7151483,23879
Heerenveen,18793972,26866
Kollumerland en Nieuwkruisland,4212642,8164
Leeuwarden,75582142,83766
Leeuwarderadeel,2376384,5074
Ooststellingwerf,7870083,26361
Opsterland,8124135,14039
Schiermonnikoog,127957,0
Smallingerland,24713469,32090
Terschelling,304347,3420
Vlieland,78194,0
Weststellingwerf,6716784,8595
Assen,26990959,53388
Coevorden,10753950,9763
Emmen,47102928,43271
Hoogeveen,17713968,128036
Meppel,9744728,21412
Littenseradiel,1693957,9767
Almelo,35486194,21074
Borne,3948489,17359
Dalfsen,2676430,3962
Deventer,36015879,49802
Enschede,88013618,190481
Haaksbergen,4516318,27751
Hardenberg,11553027,86205
Hellendoorn,5892301,17848
Hengelo,31304343,91031
Kampen,10584459,10977
Losser,4716264,15083
Noordoostpolder,11258722,96214
Oldenzaal,7808992,12052
Ommen,2644736,16834
Raalte,5339019,5571
Staphorst,1264173,7350
Tubbergen,1758029,9422
Urk,1345475,50157
Wierden,2851243,8258
Zwolle,42621118,40738
Rijnwaarden,2894484,2679
Aalten,4262104,3672
Apeldoorn,43649113,17303
Arnhem,92674251,86234
Barneveld,6371165,49112
Beuningen,5436828,6087
Brummen,4000462,10484
Buren,2873374,10026
Culemborg,7637812,10369
Doesburg,4494033,1452
Doetinchem,16226897,32888
Druten,3050200,9759
Duiven,5585721,8757
Ede,19787209,31683
Elburg,2910686,2883
Epe,5704208,15390
Ermelo,3996154,16190
Geldermalsen,3040507,4742
Harderwijk,10823664,12234
Hattem,1464220,699
Heerde,2057414,7029
Heumen,2875793,17389
Lochem,5073067,26702
Maasdriel,2719195,19564
Nijkerk,4755966,10936
Nijmegen,92077803,102734
Oldebroek,2809779,7614
Putten,2767113,35040
Renkum,7511824,11823
Rheden,13699137,32393
Rozendaal,57867,0
Scherpenzeel,670101,734
Tiel,15255265,24496
Voorst,3324528,5873
Wageningen,10490893,5871
Westervoort,5319668,10613
Winterswijk,7988939,23571
Wijchen,9350209,20431
Zaltbommel,3833487,13546
Zevenaar,8579606,8986
Zutphen,18973583,55538
Nunspeet,3462054,5112
Dronten,8751784,48792
Neerijnen,1387319,3186
Amersfoort,41197236,53401
Baarn,4350744,8215
De Bilt,6822719,22490
Bunnik,1464735,2309
Bunschoten,1809064,3739
Eemnes,1016894,3680
Houten,6533801,14019
Leusden,3336019,9772
Lopik,1496018,1666
Montfoort,1163620,4270
Renswoude,411938,0
Rhenen,3519921,11218
Soest,8721142,5267
Utrecht,115672056,162085
Veenendaal,17229646,13292
Woudenberg,1079078,4531
Wijk bij Duurstede,3319411,11969
IJsselstein,6514570,27136
Zeist,15885776,26869
Nieuwegein,17348544,14110
Aalsmeer,3018387,657
Alkmaar,33419198,33864
Amstelveen,17989983,23577
Amsterdam,551597163,808865
Beemster,968836,0
Bergen (NH.),3783253,6598
Beverwijk,12617131,0
Blaricum,1420088,4882
Bloemendaal,2296890,4697
Castricum,3748252,2924
Diemen,8612057,37408
Edam-Volendam,4028615,6144
Enkhuizen,4603893,9139
Haarlem,49598733,49629
Haarlemmerliede en Spaarnwoude,782064,4812
Haarlemmermeer,25725197,17515
Heemskerk,10163017,7666
Heemstede,2954800,2420
