"Gemeenten","Baten - Algemene Uitkering Gemeentefonds|2007","Baten - Algemene Uitkering Gemeentefonds|2008","Baten - Algemene Uitkering Gemeentefonds|2009","Baten - Algemene Uitkering Gemeentefonds|2010","Baten - Algemene Uitkering Gemeentefonds|2011","Baten - Algemene Uitkering Gemeentefonds|2012","Baten - Algemene Uitkering Gemeentefonds|2013","Baten - Algemene Uitkering Gemeentefonds|2014","Baten - Algemene Uitkering Gemeentefonds|2015","Baten - Algemene Uitkering Gemeentefonds|2016","Baten - Specifieke uitkeringen|2007","Baten - Specifieke uitkeringen|2008","Baten - Specifieke uitkeringen|2009","Baten - Specifieke uitkeringen|2010","Baten - Specifieke uitkeringen|2011","Baten - Specifieke uitkeringen|2012","Baten - Specifieke uitkeringen|2013","Baten - Specifieke uitkeringen|2014","Baten - Specifieke uitkeringen|2015","Baten - Specifieke uitkeringen|2016","Baten - Integratie-uitkering Sociaal domein|2007","Baten - Integratie-uitkering Sociaal domein|2008","Baten - Integratie-uitkering Sociaal domein|2009","Baten - Integratie-uitkering Sociaal domein|2010","Baten - Integratie-uitkering Sociaal domein|2011","Baten - Integratie-uitkering Sociaal domein|2012","Baten - Integratie-uitkering Sociaal domein|2013","Baten - Integratie-uitkering Sociaal domein|2014","Baten - Integratie-uitkering Sociaal domein|2015","Baten - Integratie-uitkering Sociaal domein|2016"
"Aa en Hunze",20926,22118,23919,23658,22937,23819,22795,23312,21621,22603,40,3425,8130,7471,7750,6621,6906,7426,3778,4553,0,0,0,0,0,0,0,0,13333,12368
"Aalburg",7962,8458,9636,9715,9669,10024,9888,10309,9316,9582,891,844,1584,1444,1562,1519,1670,2029,1031,1193,0,0,0,0,0,0,0,0,4785,4809
"Aalsmeer",14196,16548,18176,20538,20598,21408,20770,20965,19952,21176,2480,2080,3355,2914,3404,3315,3286,3305,2344,3160,0,0,0,0,0,0,0,0,8223,7680
"Aalten",22227,23324,24179,24197,24127,24775,23934,24229,22423,22648,0,50,12318,12514,11701,10901,10550,11062,3897,4461,0,0,0,0,0,0,0,0,15917,15714
"Achtkarspelen",23123,23938,26597,26035,25911,26964,26669,27410,25465,25966,14123,8105,18300,15395,16727,18273,14132,16721,12504,12528,0,0,0,0,0,0,0,0,18060,17387
"Alblasserdam",12639,14697,16628,16101,15927,16034,15720,16637,15871,16020,3963,4258,6181,4743,4493,4185,4245,4786,3998,4096,0,0,0,0,0,0,0,0,8779,8176
"Albrandswaard",12921,14693,16523,17532,17496,17831,17691,18319,16587,17201,4294,3862,3186,4045,3701,4030,4369,4716,3743,4072,0,0,0,0,0,0,0,0,7599,7396
"Alkmaar",93167,97874,106326,112364,114769,113959,112538,114324,106237,112585,44816,39359,46227,37530,45383,37463,38431,40166,33465,33656,0,0,0,0,0,0,0,0,72854,70987
"Almelo",72527,76649,82531,85607,88225,87410,86220,88760,81860,84270,28507,40001,55735,48966,48749,48979,50608,52371,37710,37368,0,0,0,0,0,0,0,0,77056,67696
"Almere",153578,161148,178531,179064,191155,200146,198761,204916,204285,210000,76889,70346,83066,71266,71995,72488,87069,95231,89092,88463,0,0,0,0,0,0,0,0,144167,132508
"Alphen aan den Rijn",78496,83319,96386,96868,94120,95899,94802,99217,90585,93496,20680,18662,28384,27324,27276,27365,27497,28600,19770,21895,0,0,0,0,0,0,0,0,50619,48949
"Alphen-Chaam",6124,6785,7735,7589,7210,7682,7525,7905,6959,7402,1161,1112,1751,1634,1587,1389,1508,1574,952,934,0,0,0,0,0,0,0,0,3433,3277
"Ameland",4520,4870,5221,5481,5299,5365,5271,5473,5467,4966,353,291,732,585,585,548,583,598,247,245,0,0,0,0,0,0,0,0,971,1174
"Amersfoort",124660,131362,142648,150586,151497,156488,154009,158367,151288,151299,49885,47148,65355,54144,64913,59247,59889,61404,47993,42516,0,0,0,0,0,0,0,0,113545,104251
"Amstelveen",56186,63525,69242,71634,71039,72638,70783,74370,67486,71231,16559,16499,17055,15068,16795,16796,16443,16443,17375,18370,0,0,0,0,0,0,0,0,25861,23224
"Amsterdam",1199917,1287997,1371863,1516776,1533298,1503945,1495361,1539854,1406070,1962168,807033,782470,748166,609558,609752,590111,656018,723325,604929,615147,0,0,0,0,0,0,0,0,587498,0
"Apeldoorn",134499,140321,150221,151694,159249,162415,156840,160511,151216,155190,83567,56248,49100,60590,63310,60510,62467,66395,45971,45708,0,0,0,0,0,0,0,0,137257,127914
"Appingedam",12326,13126,14584,14729,14430,15037,14852,15054,13967,14340,5514,9204,10072,9259,8337,8534,8982,9808,5117,5285,0,0,0,0,0,0,0,0,11807,11092
"Arnhem",153462,160483,173624,189098,192280,195902,193890,196604,183670,187169,120999,114249,139050,124242,130523,140794,117170,116509,118828,101480,0,0,0,0,0,0,0,0,165935,159536
"Assen",56731,60047,65670,71391,71934,73959,88311,108888,70415,72988,28259,26632,43571,44315,44120,40426,41521,45968,28725,28217,0,0,0,0,0,0,0,0,81422,83257
"Asten",11119,12011,13655,13741,13369,13583,13322,13793,12492,12905,2376,2272,4889,4885,4937,5119,4985,5049,2669,2992,0,0,0,0,0,0,0,0,7280,6707
"Baarle-Nassau",5924,6329,6946,7318,7192,7209,6868,7108,6254,6450,1273,1299,1507,1488,1509,1409,1286,1418,863,867,0,0,0,0,0,0,0,0,2491,2463
"Baarn",17988,19364,21041,21557,20472,20575,20356,21181,18995,18540,5687,5009,6336,5080,4826,5227,5272,5668,4532,4249,0,0,0,0,0,0,0,0,8575,9566
"Barendrecht",29597,32777,37039,38601,38423,40127,39839,40946,37703,38309,3261,3293,3392,4533,4603,6024,7309,8048,6753,6966,0,0,0,0,0,0,0,0,16292,15152
"Barneveld",34340,37341,40747,42036,41608,43685,42602,43217,40266,42853,7015,6614,8869,5008,8440,8613,8706,9554,6940,8594,0,0,0,0,0,0,0,0,23636,21704
"Bedum",8124,8584,9508,9675,9483,9631,9343,9621,8760,8961,1906,1590,2825,2472,2884,2716,2817,3033,1766,1793,0,0,0,0,0,0,0,0,5488,5604
"Beek",12330,12737,13611,13719,13914,14521,14125,14449,12825,13421,3575,6633,6590,6626,6438,5930,5733,6191,3701,3654,0,0,0,0,0,0,0,0,9217,8033
"Beemster",5820,6277,6979,7206,6975,7147,6946,7307,6828,7066,983,862,1188,964,980,1087,1159,1289,1194,991,0,0,0,0,0,0,0,0,2917,2790
"Beesel",9787,10479,11460,11886,11842,12311,12140,12403,11279,11331,2809,2385,3907,3793,4284,4701,4921,5097,3886,3276,0,0,0,0,0,0,0,0,7799,7231
"Bellingwedde",8376,10192,11066,10697,10367,10509,10405,10405,9637,9724,3207,2783,7107,6163,6471,6135,6228,6230,2682,2889,0,0,0,0,0,0,0,0,7860,7279
"Berg en Dal",25324,27417,30937,31066,30925,31867,31389,33824,29073,30465,8828,7131,12413,12250,11704,11781,12374,13963,7806,9339,0,0,0,0,0,0,0,0,17857,17652
"Bergeijk",11331,12216,13113,13667,13185,13654,13413,14317,12785,13184,2146,4776,5001,4983,5070,4979,5263,5294,2725,2381,0,0,0,0,0,0,0,0,8083,7723
"Bergen (L.)",9860,10554,11941,11945,11556,12019,11662,12092,10985,10894,2226,1913,4716,4898,4865,4879,4541,5235,2661,2661,0,0,0,0,0,0,0,0,7183,7033
"Bergen (NH.)",20597,22574,25015,24983,24832,24194,23255,24227,21288,22211,5469,4760,6333,4731,4999,4653,4780,5200,3987,3821,0,0,0,0,0,0,0,0,8410,9189
"Bergen op Zoom",59462,63605,68421,67603,67905,68987,70003,71367,67825,68254,23842,21422,34196,29339,27569,28686,33244,36035,22793,21649,0,0,0,0,0,0,0,0,49441,48261
"Berkelland",38626,40489,41633,40833,39927,39776,39312,40653,36440,37514,6463,5293,15438,14583,17276,17287,16557,15464,8598,7733,0,0,0,0,0,0,0,0,26761,24462
"Bernheze",18110,19770,21440,21869,21111,22052,21501,22482,20262,20880,4013,3201,7960,7402,7792,7770,8108,8756,3369,3397,0,0,0,0,0,0,0,0,14164,13602
"Best",18858,21075,23513,23298,22535,23137,22351,23396,21128,21601,5899,4747,7705,7027,7735,7488,8781,9220,5631,5617,0,0,0,0,0,0,0,0,10932,11503
"Beuningen",15885,17242,18709,18666,18627,19239,18965,19407,18170,18825,4741,4679,7265,7579,6534,7378,7815,8115,5285,5110,0,0,0,0,0,0,0,0,12168,11414
"Beverwijk",31666,34046,38889,38467,39804,40533,40842,41502,38272,39325,12472,10135,14648,12924,13722,13144,14068,17465,13690,13291,0,0,0,0,0,0,0,0,18454,18674
"het Bildt",10747,11226,11729,11975,11752,12063,11912,12128,11387,11276,0,3620,5857,4171,4768,4197,4447,4808,4214,3729,0,0,0,0,0,0,0,0,6512,6186
"De Bilt",27478,29746,34080,34476,32813,33147,32028,33139,30710,31094,6692,6165,7648,6321,6784,6306,6222,7329,7096,7649,0,0,0,0,0,0,0,0,13763,12926
"Binnenmaas",18502,19358,21490,21607,20699,20175,21045,21091,19724,20135,0,752,3681,3141,3131,3350,3677,3521,2860,3250,0,0,0,0,0,0,0,0,9386,8679
"Bladel",12841,14288,16007,16248,15774,16048,15833,15827,14612,15349,2198,7004,7433,7529,7834,7303,7996,7702,1889,2022,0,0,0,0,0,0,0,0,11615,10754
"Blaricum",5106,5458,6286,6006,5869,5832,5695,5675,5325,5720,1040,1088,892,1217,1153,1276,1334,1451,1462,1295,0,0,0,0,0,0,0,0,2598,2171
"Bloemendaal",12764,13601,16371,15606,14888,14756,13865,14324,12991,13483,3010,2952,2927,1873,2703,2719,3198,3379,2790,2512,0,0,0,0,0,0,0,0,5068,4874
"Bodegraven-Reeuwijk",21215,23170,25799,26378,28500,26628,26264,26694,23466,25054,4301,3189,5438,5319,5344,4941,4961,4531,2915,2915,0,0,0,0,0,0,0,0,11403,10770
"Boekel",6510,7420,7607,7474,7303,7524,7325,7612,6939,7287,1125,1036,2489,2436,2723,2686,2375,2557,1140,1056,0,0,0,0,0,0,0,0,4861,4610
"Ten Boer",5674,6069,6600,6625,6751,7132,6846,6900,6370,6589,989,1052,1052,1382,1510,1485,1595,1768,1323,1324,0,0,0,0,0,0,0,0,3332,3289
