"CBS-code","Gemeente","Totaal budget","Jeugd","Participatie","Wmo 2015","Jaar"
1680,"Aa en Hunze","12517228,98",4996879097,3787305317,"3733044,57",2016
738,"Aalburg",4876470096,2310043058,1096289341,1470137698,2016
358,"Aalsmeer",7739357143,3634033726,1142917252,2962406165,2016
197,"Aalten","15906140,64",4414342701,7450159672,4041638271,2016
59,"Achtkarspelen","17663508,44",6592378723,6614736229,4456393484,2016
482,"Alblasserdam",8277350215,3846030152,1873318817,2558001247,2016
613,"Albrandswaard",7507998799,3844753055,1421866089,2241379655,2016
361,"Alkmaar","71057753,5","23373348,92","15119017,17","32565387,42",2016
141,"Almelo","68385860,28","20931067,41","18699729,57","28755063,31",2016
34,"Almere","134663555,9","57195550,14","20729136,86","56738868,86",2016
484,"Alphen aan den Rijn","49486010,3","23967019,58","13571701,84","11947288,88",2016
1723,"Alphen-Chaam",3340837967,1389637174,"881709,7563",1069491036,2016
60,"Ameland",1188938854,"436230,9032","416644,5088","336063,4425",2016
307,"Amersfoort","106416956,6","39746366,33","23234277,14","43436313,11",2016
362,"Amstelveen","23407197,39","11798056,31",3350024507,"8259116,58",2016
363,"Amsterdam","515705303,7",191138019,"147725769,4","176841515,2",2016
200,"Apeldoorn","130212998,3","39491361,71","28154769,24","62566867,39",2016
3,"Appingedam","11079871,13",3175047206,5359808858,2545015071,2016
202,"Arnhem","166038425,8","40356674,07","43581049,45","82100702,31",2016
106,"Assen","86636637,85","21269378,55","19425923,37","45941335,94",2016
743,"Asten",6875687092,2439928561,2504034128,1931724403,2016
744,"Baarle-Nassau",2520994787,"668366,1137","651837,3288",1200791344,2016
308,"Baarn","9538452,77",4496026351,1580974383,3461452037,2016
489,"Barendrecht","15313364,94",9325916523,2109484589,"3877963,83",2016
203,"Barneveld","22024204,06","12404252,05",3269142077,6350809936,2016
5,"Bedum",5763622631,2448138085,1713032684,1602451862,2016
888,"Beek",8104558162,2932494043,2452309564,2719754555,2016
370,"Beemster",2837712452,"1353162,55","462600,6147",1021949288,2016
889,"Beesel",7249472822,2456661396,2316456036,"2476355,39",2016
7,"Bellingwedde",7201089056,2277252433,3174799184,1749037439,2016
1945,"Berg en Dal","17905355,42",6508588915,5786094275,5610672234,2016
1724,"Bergeijk",7787883672,"2618517,23",3076764113,2092602329,2016
893,"Bergen L",7384450072,"2352995,84",3055438654,1976015578,2016
373,"Bergen NH",9502109195,3856611395,1898742376,3746755424,2016
748,"Bergen op Zoom","48361857,34","14440022,28","14422385,11","19499449,95",2016
1859,"Berkelland","24933778,94",9652792046,"8730207,84",6550779056,2016
1721,"Bernheze","13875245,68",4957179776,5471397514,3446668394,2016
753,"Best","12061208,21",4907718943,3967673208,3185816056,2016
209,"Beuningen","11716215,49",5067884788,3747699901,2900630803,2016
375,"Beverwijk","18973564,21",7934615459,6008381972,5030566777,2016
585,"Binnenmaas",8747902548,4021598896,1383172295,3343131357,2016
1728,"Bladel","11020906,82",2859505689,5720726691,2440674435,2016
376,"Blaricum",2138008661,"849392,1532","315387,7874","973228,7203",2016
377,"Bloemendaal",4975905366,2065181193,"834169,2282",2076554944,2016
1901,"Bodegraven-Reeuwijk","10970336,9",5632963266,2250906528,3086467104,2016
755,"Boekel",4675423446,1810670419,1623192556,1241560472,2016
1681,"Borger-Odoorn","16129256,13",6170692432,6265172181,3693391517,2016
147,"Borne","11160028,05",3687731884,3665038977,"3807257,19",2016
654,"Borsele",9196515655,4657776794,1944657311,"2594081,55",2016
756,"Boxmeer","15356186,46",5615505439,5908385145,3832295874,2016
757,"Boxtel","23215708,72",9658409979,9462303694,4094995046,2016
758,"Breda","123280885,1","39606720,15","32350001,64","51324163,28",2016
501,"Brielle",4611952301,2228066451,"782405,3214",1601480529,2016
1876,"Bronckhorst","17090045,28",6514154354,4743758149,"5832132,78",2016
213,"Brummen","10284521,03",4295495141,2565648986,3423376904,2016
899,"Brunssum","26537274,34",7639758846,"12642234,17",6255281331,2016
312,"Bunnik",4161041136,2160951619,"530749,4158",1469340101,2016
313,"Bunschoten",6049800399,"2898008,39",1255632226,1896159783,2016
214,"Buren",9438106985,4044127208,2706490785,2687488992,2016
502,"Capelle aan den IJssel","34905307,49","16473766,45","10532215,98",7899325057,2016
383,"Castricum",9388999238,4430897374,1376396032,3581705833,2016
109,"Coevorden","19193501,14",7172062411,6153813404,5867625325,2016
1706,"Cranendonck",8030717777,2697445789,2613034585,2720237404,2016
611,"Cromstrijen",4303232516,2042854596,"763704,7819",1496673138,2016
1684,"Cuijk","16160364,78","5737114,58","6800061,61",3623188591,2016
216,"Culemborg","12857073,81",5148406224,4570640894,3138026693,2016
148,"Dalfsen","11554137,03",4967081513,3387485195,3199570327,2016
1891,"Dantumadiel","13023801,21","4029559,49",5539249038,3454992685,2016
310,"De Bilt","13125404,97",6402222813,1965879777,4757302383,2016
1940,"De Fryske Marren","21311473,41",9509306826,5278345099,6523821489,2016
1663,"De Marne",6448768653,2558166566,2098288949,1792313138,2016
736,"De Ronde Venen","11432273,34",5501452354,1843390642,4087430342,2016
1690,"De Wolden",9306800843,3341589578,2770308981,3194902284,2016
503,"Delft","61843043,97","18944900,74","16337186,82","26560956,41",2016
10,"Delfzijl","18833286,74",7518268546,6705427547,4609590646,2016
400,"Den Helder","45657714,74","18248805,19","9734006,54",17674903,2016
762,"Deurne","16134696,9",6728777943,"5215098,46",4190820497,2016
150,"Deventer","79539944,66","25695129,38","23663763,32","30181051,96",2016
