ABP_code,CBS_code,Naam_gemeente,ozb_waarde_woningen_eigenaren,ozb_waarde_niet_woningen_gebruikers,ozb_waarde_niet_woningen_eigenaren,belastingcapaciteit_niet_woningen_eigenaren_in_mln,bijstandsontvangers,ABW_schaalnadeel,ABW_schaalvoordeel,eenouderhuishoudens,inwoners,inwoners_kl_20_jaar,inwoners_gr_64_jaar,inwoners_75___85_jaar,Inwoners_waddengemeenten_7501,Inwoners_waddengemeenten_2501,Inwoners_waddengemeenten_1,krimp,lage_inkomens,lage_inkomens_drempel,minderheden,uitkeringsontvangers,extra_groei_jongeren,extra_groei_leerlingen_VO,klantenpotentieel_lokaal,klantenpotentieel_regionaal,leerlingen_VO,leerlingen_VSO,bedrijfsvestigingen,bewoond_oord_historische_kern,bewoonde_oorden_1930,hist_kern_I_kl_41_ha,hist_kern_I_gr_40_ha,hist_kern_I__gr_64_ha,hist_kern_II_kl_41_ha,hist_kern_II_gr_64_ha,hist_kern_III_kl_41_ha,hist_kern_IV_kl_41_ha,hist_kern_V_kl_41_ha,Historische_waterweg,isv_a,isv_b,kernen,kernen_x_bodemfactor_buitengebied,kernen_met_500_adressen_of_meer,nieuwbouwwoningen,oad_x_percentage_slechte_bodem,oeverlengte_x_factor_bodem,oeverlengte_x_factor_bodem_x_dichtheidsfactor,omgevingsadressendichtheid,oppervlak_bebouwing,opp_beb_woonkern_x_bodemfactor,opp_beb_buitengebied_x_bodemfactor,oppervlakte_binnenwater,oppervlakte_buitenwater,oppervlakte_land,opp_land_x_percentage_slechte_bodem,opp_land_x_factor_bodem,woonruimten,woonruimten_x_bodemfactor_woonkern,woonruimten_x_percentage_slechte_bodem,vast_bedrag,vast_bedrag_Amsterdam,vast_bedrag_Rotterdam,vast_bedrag_Den_Haag,vast_bedrag_Utrecht,vast_bedrag_Baarle_Nassau,vast_bedrag_waddengemeenten,Herindeling,rioleringen,Suppletie_bommenregeling,Suppletie_uitkering_OZB,Aanvullende_Uitkering,Aanvullende_uitkering_volgend_jaar,Antillianengemeenten,Beeldende_kunst_en_vormgeving,Bestaand_Rotterdams_gebied,Bodemsanering,Centra_voor_jeugd_en_gezin,Combinatiefuncties,Eigen_kracht,Gezond_in_de_stad,Green_Deal,Herstructurering_bedrijfsterreinen,ISV,Jeugd,Jeugdwerkloosheid,Jeugdzorg,LHBT_emancipatiebeleid,Maatschappelijke_opvang,Nationale_gebiedsontwikkelingen,Programma_Kwaliteitssprong_Zuid,Spoorse_doorsnijdingen,Sterke_regio_s,Veiligheidshuizen,Versterking_peuterspeelzalen,Vrouwenopvang,VSV_RMC_regio_G4,Zichtbare_Schakel,Quick_Wins_Binnenhavens,WE_CAN_Young,Werkgeversdienstverlening,Voorbereiding_ESF_programma,Kosten_uitvoering_inburgering,Knelpunten_verdeelproblematiek,Uitvoeringskosten_inburgering,WMO,WUW_middelen_GF,Jaar,uitkering,VTH_provinciale_taken,Bijdrage_IODS_kwaliteitsprojecten,Zuiderzeelijn,Mantelzorg,Pilot_Participatieverklaring,Meetsysteem_van_Geluidsnet,Erfgoed_en_ruimte,Aldel,Koopkrachttegemoetkoming,Beter_benutten,Facbesluit_opvangcentra,Oversampling_woOn,Implementatie_participatiewet,Pilot_integraal_PGB,Ondersteuning_raadsman_Loppersum,minderheden_drempel,huishoudens,achterstandsleerlingen_drempel,oad_drempel,Suppletie_uitkering,Groeiopgave_Almere,Programma_verbetering_GGZ,Huishoudelijke_hulp_toelage,Bed_bad_en_brood,Nota_Ruimte,Nieuwe_Kans_Rotterdam,Pilot_nabestaanden,EIP_Waterconferentie,Herstructurering_wsw_sector,Wijkaanpak_Den_Haag,Kennisplatform_Nalevingnet,Link2Work,Projectstimuleringsregeling,Stimulering_regarbeidsmigranten,IPSV,City_Deal,Sociaal_domein,eenpersoonshuishoudens,loonkostensubsidie,oppervlak_bebouwing_woonkernen,oppervlak_bebouwing_buitengebied,Cumulatieregeling_GF,Bevolkingsdaling,Versterking_aanpak_jihadisme,Voorschoolse_voorz_peuters,Actieplan_Luchtkwaliteit,Projectstimuleringsreg_Inter_V,Kracht_on_Tour,Pilot_weerbaar_opvoeden,Geg_uitwisseling_nazorg_ex_ged,Jaarconferentie_Techniekpact,Vierkant_voor_Werk,Leeuwarden_Culturele_Hoofdstad,Expositie_The_STEC_Food,MIRT_onderzoek_A2,Business_Marathon_Smart_Mob,Asiel_partieel_effect,Asiel_participatie_en_integr,Scholenprogramma_Groningen,Huisvesting_onderwijs_asiel,Aansluiting_A58,Nieuwe_Hollandse_Waterlinie,Innovatieve_aanpak_energie,Twinning_arbeidsbemiddeling,OV_SAAL_MLT,Pilot_EU_migranten,HSL_Zuid_geluidsproces,Arbeidsparticipatie,Marken_boven_water,Suppletie_uitkering_VHROSV,BRP_straten,Basisreg_Grootschalige_Topogr,Armoedebestrijding_kinderen
10047,3,Appingedam,680000000.00,129850000.00,140000000.00,140.00,323.00,0.48,152.41,414.00,12053.00,2523.00,2646.00,862.00,0.00,0.00,0.00,115.09,2210.00,1601.00,475.00,1348.00,0.00,206.00,13110.00,8300.00,965.60,602.20,502.00,1268.00,1268.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.32,1.00,0.00,3519.90,1073.16,11385.52,6175.26,78.00,85.15,17.16,82.00,0.00,2376.00,1354.32,3136.32,6090.00,7977.90,3471.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7575.30,0.00,213063.00,0.00,0.00,0.00,0.00,0.00,0.00,259047.00,38160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49966.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21508.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2733.00,0.00,0.00,1928945.00,0.00,2013-01-01,14846121.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,5,Bedum,626000000.00,96950000.00,110600000.00,110.60,109.00,0.24,59.23,256.00,10553.00,2541.00,1896.00,537.00,0.00,0.00,0.00,15.25,1330.00,852.00,85.00,840.00,0.00,0.00,8760.00,1840.00,0.00,0.00,578.00,0.00,678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.81,1.00,0.00,1882.13,1295.28,3040.95,2987.50,85.00,66.42,39.37,41.00,0.00,4454.00,2806.02,5612.04,4780.00,5879.40,3011.40,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39502.00,0.00,0.00,0.00,0.00,0.00,0.00,221490.00,34200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49821.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27986.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7027.00,0.00,0.00,1066967.00,0.00,2013-01-01,9410459.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086,7,Bellingwedde,540400000.00,80500000.00,95900000.00,95.90,185.00,0.35,93.85,214.00,8985.00,1729.00,2087.00,583.00,0.00,0.00,0.00,657.60,1390.00,957.60,70.00,1034.00,0.00,4.20,7220.00,940.00,142.40,0.00,584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1700.00,0.00,0.00,13.00,13.00,3.00,0.00,0.00,2342.00,1973.45,674.54,109.00,56.00,54.00,173.00,0.00,10836.00,0.00,10836.00,4324.00,4324.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.02,0.00,51127.00,0.00,0.00,0.00,0.00,0.00,0.00,161675.00,33040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46283.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3904.00,0.00,0.00,1254373.00,0.00,2013-01-01,10403285.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10891,1663,De Marne,614400000.00,166250000.00,191800000.00,191.80,200.00,0.36,100.44,269.00,10336.00,2255.00,2107.00,603.00,0.00,0.00,0.00,666.86,1760.00,1205.10,60.00,836.00,0.00,0.00,8200.00,320.00,134.40,0.00,780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,16.80,4.00,0.00,0.00,3668.70,2041.66,832.35,136.00,72.60,73.50,1503.00,5460.00,17070.00,0.00,17923.50,5549.00,6103.90,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48841.24,0.00,-1722.00,0.00,0.00,0.00,0.00,0.00,0.00,210432.00,30600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48038.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60906.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2342.00,0.00,0.00,1330520.00,0.00,2013-01-01,12614782.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10191,10,Delfzijl,1299600000.00,656950000.00,692300000.00,692.30,760.00,0.68,320.85,825.00,26025.00,5445.00,5833.00,1907.00,0.00,0.00,0.00,1684.11,4250.00,2989.20,1590.00,2341.00,0.00,0.00,26150.00,19000.00,968.80,0.00,1385.00,948.00,1579.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,13.53,3.00,0.00,2979.77,3519.12,11835.74,7640.45,254.00,185.76,135.30,474.00,8959.00,13317.00,5193.63,16513.08,12608.00,16264.32,4917.12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2220.20,604800.00,359853.00,0.00,0.00,0.00,0.00,0.00,0.00,555575.00,75000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73204.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9759.00,0.00,0.00,3600301.00,0.00,2013-01-01,30674880.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11105,1651,Eemsmond,910000000.00,840700000.00,868350000.00,868.35,382.00,0.52,176.36,440.00,16083.00,3773.00,3091.00,924.00,0.00,0.00,0.00,445.05,2550.00,1765.70,160.00,1778.00,0.00,0.00,14700.00,2830.00,857.60,0.00,1037.00,0.00,845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,13.78,4.00,0.00,0.00,3693.04,3058.93,2815.64,211.00,109.08,116.60,387.00,10000.00,19030.00,0.00,20171.80,7843.00,8470.44,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,832.59,0.00,376682.00,0.00,0.00,0.00,0.00,0.00,0.00,343367.00,51000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67600.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6636.00,0.00,0.00,1977132.00,0.00,2013-01-01,17708619.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10322,14,Groningen,12163200000.00,4105150000.00,4187400000.00,4187.40,9645.00,0.96,2926.46,6431.00,195418.00,37759.00,22633.00,7321.00,0.00,0.00,0.00,0.00,35410.00,23973.50,10110.00,20114.00,263.30,0.00,223930.00,484650.00,9905.60,7435.42,10771.00,23468.00,25153.00,0.00,0.00,112.00,0.00,0.00,0.00,0.00,0.00,6100.00,0.04,0.05,4.00,4.68,1.00,0.00,103880.02,4930.05,124963.69,371000.06,870.00,932.52,60.84,459.00,0.00,7916.00,2216.48,9103.40,114365.00,130376.10,32022.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2389702.00,0.00,0.00,0.00,473748.00,0.00,435663.00,3718882.00,519960.00,50000.00,46932.00,0.00,0.00,7075836.00,553998.00,1638500.00,255149.00,20000.00,13306010.00,280000.00,0.00,0.00,0.00,265650.00,255221.98,3989620.00,0.00,228952.00,0.00,20000.00,130000.00,100000.00,215486.00,0.00,0.00,15510663.00,0.00,2013-01-01,272830517.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10325,15,Grootegast,739600000.00,106050000.00,134750000.00,134.75,145.00,0.29,75.93,268.00,12222.00,3284.00,1931.00,632.00,0.00,0.00,0.00,0.00,1450.00,947.50,50.00,818.00,0.00,24.90,9840.00,1180.00,161.60,0.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.09,2.00,0.00,0.00,1414.00,1992.41,1055.25,130.00,61.00,70.70,103.00,0.00,8670.00,0.00,8756.70,5025.00,5025.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72505.00,0.00,0.00,0.00,0.00,0.00,0.00,277712.00,33600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47265.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4684.00,0.00,0.00,1187293.00,0.00,2013-01-01,10905455.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10348,17,Haren,1889600000.00,217700000.00,233800000.00,233.80,197.00,0.36,99.13,452.00,18642.00,4307.00,4859.00,1614.00,0.00,0.00,0.00,273.93,2140.00,1175.80,220.00,872.00,0.00,1758.70,15840.00,6050.00,2694.40,2211.29,1198.00,0.00,638.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,7.07,2.00,0.00,0.00,1779.62,6918.23,7732.88,117.00,95.00,22.22,525.00,0.00,4548.00,0.00,4593.48,9642.00,9642.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,740.08,0.00,136582.00,0.00,0.00,0.00,0.00,0.00,0.00,377859.00,44320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61917.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41495.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9369.00,0.00,0.00,1902152.00,0.00,2013-01-01,18705193.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10426,18,Hoogezand-Sappemeer,1865600000.00,361200000.00,378350000.00,378.35,1187.00,0.77,472.90,1197.00,34523.00,7642.00,6918.00,2235.00,0.00,0.00,0.00,0.00,6280.00,4603.20,3215.00,4172.00,0.00,0.00,38070.00,39370.00,1312.80,465.30,1497.00,0.00,1980.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,1.00,0.00,0.00,3120.00,14861.11,19132.29,245.00,183.00,62.00,656.00,0.00,6643.00,0.00,6643.00,16768.00,16768.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140194.10,0.00,334583.00,0.00,0.00,0.00,0.00,0.00,0.00,814749.00,133280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68036.38,0.00,0.00,47621.00,0.00,0.00,0.00,0.00,19519.00,0.00,0.00,4845442.00,0.00,2013-01-01,39460714.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
