ABP_code,CBS_code,Naam_gemeente,ozb_waarde_woningen_eigenaren,ozb_waarde_niet_woningen_gebruikers,ozb_waarde_niet_woningen_eigenaren,belastingcapaciteit_niet_woningen_eigenaren_in_mln,bijstandsontvangers,ABW_schaalnadeel,ABW_schaalvoordeel,eenouderhuishoudens,inwoners,inwoners_kl_20_jaar,inwoners_gr_64_jaar,inwoners_75___85_jaar,Inwoners_waddengemeenten_7501,Inwoners_waddengemeenten_2501,Inwoners_waddengemeenten_1,krimp,lage_inkomens,lage_inkomens_drempel,minderheden,uitkeringsontvangers,extra_groei_jongeren,extra_groei_leerlingen_VO,klantenpotentieel_lokaal,klantenpotentieel_regionaal,leerlingen_VO,leerlingen_VSO,bedrijfsvestigingen,bewoond_oord_historische_kern,bewoonde_oorden_1930,hist_kern_I_kl_41_ha,hist_kern_I_gr_40_ha,hist_kern_I__gr_64_ha,hist_kern_II_kl_41_ha,hist_kern_II_gr_64_ha,hist_kern_III_kl_41_ha,hist_kern_IV_kl_41_ha,hist_kern_V_kl_41_ha,Historische_waterweg,isv_a,isv_b,kernen,kernen_x_bodemfactor_buitengebied,kernen_met_500_adressen_of_meer,nieuwbouwwoningen,oad_x_percentage_slechte_bodem,oeverlengte_x_factor_bodem,oeverlengte_x_factor_bodem_x_dichtheidsfactor,omgevingsadressendichtheid,oppervlak_bebouwing,opp_beb_woonkern_x_bodemfactor,opp_beb_buitengebied_x_bodemfactor,oppervlakte_binnenwater,oppervlakte_buitenwater,oppervlakte_land,opp_land_x_percentage_slechte_bodem,opp_land_x_factor_bodem,woonruimten,woonruimten_x_bodemfactor_woonkern,woonruimten_x_percentage_slechte_bodem,vast_bedrag,vast_bedrag_Amsterdam,vast_bedrag_Rotterdam,vast_bedrag_Den_Haag,vast_bedrag_Utrecht,vast_bedrag_Baarle_Nassau,vast_bedrag_waddengemeenten,Herindeling,rioleringen,Suppletie_bommenregeling,Suppletie_uitkering_OZB,Aanvullende_Uitkering,Aanvullende_uitkering_volgend_jaar,Antillianengemeenten,Beeldende_kunst_en_vormgeving,Bestaand_Rotterdams_gebied,Bodemsanering,Centra_voor_jeugd_en_gezin,Combinatiefuncties,Eigen_kracht,Gezond_in_de_stad,Green_Deal,Herstructurering_bedrijfsterreinen,ISV,Jeugd,Jeugdwerkloosheid,Jeugdzorg,LHBT_emancipatiebeleid,Maatschappelijke_opvang,Nationale_gebiedsontwikkelingen,Programma_Kwaliteitssprong_Zuid,Spoorse_doorsnijdingen,Sterke_regio_s,Veiligheidshuizen,Versterking_peuterspeelzalen,Vrouwenopvang,VSV_RMC_regio_G4,Zichtbare_Schakel,Quick_Wins_Binnenhavens,WE_CAN_Young,Werkgeversdienstverlening,Voorbereiding_ESF_programma,Kosten_uitvoering_inburgering,Knelpunten_verdeelproblematiek,Uitvoeringskosten_inburgering,WMO,WUW_middelen_GF,Jaar,uitkering,VTH_provinciale_taken,Bijdrage_IODS_kwaliteitsprojecten,Zuiderzeelijn,Mantelzorg,Pilot_Participatieverklaring,Meetsysteem_van_Geluidsnet,Erfgoed_en_ruimte,Aldel,Koopkrachttegemoetkoming,Beter_benutten,Facbesluit_opvangcentra,Oversampling_woOn,Implementatie_participatiewet,Pilot_integraal_PGB,Ondersteuning_raadsman_Loppersum,minderheden_drempel,huishoudens,achterstandsleerlingen_drempel,oad_drempel,Suppletie_uitkering,Groeiopgave_Almere,Programma_verbetering_GGZ,Huishoudelijke_hulp_toelage,Bed_bad_en_brood,Nota_Ruimte,Nieuwe_Kans_Rotterdam,Pilot_nabestaanden,EIP_Waterconferentie,Herstructurering_wsw_sector,Wijkaanpak_Den_Haag,Kennisplatform_Nalevingnet,Link2Work,Projectstimuleringsregeling,Stimulering_regarbeidsmigranten,IPSV,City_Deal,Sociaal_domein,eenpersoonshuishoudens,loonkostensubsidie,oppervlak_bebouwing_woonkernen,oppervlak_bebouwing_buitengebied,Cumulatieregeling_GF,Bevolkingsdaling,Versterking_aanpak_jihadisme,Voorschoolse_voorz_peuters,Actieplan_Luchtkwaliteit,Projectstimuleringsreg_Inter_V,Kracht_on_Tour,Pilot_weerbaar_opvoeden,Geg_uitwisseling_nazorg_ex_ged,Jaarconferentie_Techniekpact,Vierkant_voor_Werk,Leeuwarden_Culturele_Hoofdstad,Expositie_The_STEC_Food,MIRT_onderzoek_A2,Business_Marathon_Smart_Mob,Asiel_partieel_effect,Asiel_participatie_en_integr,Scholenprogramma_Groningen,Huisvesting_onderwijs_asiel,Aansluiting_A58,Nieuwe_Hollandse_Waterlinie,Innovatieve_aanpak_energie,Twinning_arbeidsbemiddeling,OV_SAAL_MLT,Pilot_EU_migranten,HSL_Zuid_geluidsproces,Arbeidsparticipatie,Marken_boven_water,Suppletie_uitkering_VHROSV,BRP_straten,Basisreg_Grootschalige_Topogr,Armoedebestrijding_kinderen
10047,3,Appingedam,680000000,129850000,140000000,140,323,0.48,152.41,414,12053,2523,2646,862,0,0,0,115.09,2210,1601,475,1348,0,206,13110,8300,965.6,602.2,502,1268,1268,9,0,0,0,0,0,0,0,0,0,0,1,1.32,1,0,3519.9,1073.16,11385.52,6175.26,78,85.15,17.16,82,0,2376,1354.32,3136.32,6090,7977.9,3471.3,1,0,0,0,0,0,0,0,7575.3,0,213063,0,0,0,0,0,0,259047,38160,0,0,0,0,0,0,0,49966,0,0,0,0,0,0,0,21508.42,0,0,0,0,0,0,0,2733,0,0,1928945,0,1/1/13,14846121.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10073,5,Bedum,626000000,96950000,110600000,110.6,109,0.24,59.23,256,10553,2541,1896,537,0,0,0,15.25,1330,852,85,840,0,0,8760,1840,0,0,578,0,678,0,0,0,0,0,0,0,0,0,0,0,3,3.81,1,0,1882.13,1295.28,3040.95,2987.5,85,66.42,39.37,41,0,4454,2806.02,5612.04,4780,5879.4,3011.4,1,0,0,0,0,0,0,0,0,0,39502,0,0,0,0,0,0,221490,34200,0,0,0,0,0,0,0,49821,0,0,0,0,0,0,0,27986.64,0,0,0,0,0,0,0,7027,0,0,1066967,0,1/1/13,9410459.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10086,7,Bellingwedde,540400000,80500000,95900000,95.9,185,0.35,93.85,214,8985,1729,2087,583,0,0,0,657.6,1390,957.6,70,1034,0,4.2,7220,940,142.4,0,584,0,0,0,0,0,0,0,0,0,0,1700,0,0,13,13,3,0,0,2342,1973.45,674.54,109,56,54,173,0,10836,0,10836,4324,4324,0,1,0,0,0,0,0,0,0,185.02,0,51127,0,0,0,0,0,0,161675,33040,0,0,0,0,0,0,0,44281,0,0,0,0,0,0,0,46283.94,0,0,0,0,0,0,0,3904,0,0,1254373,0,1/1/13,10403285.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10891,1663,De Marne,614400000,166250000,191800000,191.8,200,0.36,100.44,269,10336,2255,2107,603,0,0,0,666.86,1760,1205.1,60,836,0,0,8200,320,134.4,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16.8,4,0,0,3668.7,2041.66,832.35,136,72.6,73.5,1503,5460,17070,0,17923.5,5549,6103.9,0,1,0,0,0,0,0,0,0,48841.24,0,-1722,0,0,0,0,0,0,210432,30600,0,0,0,0,0,0,0,48038,0,0,0,0,0,0,0,60906.12,0,0,0,0,0,0,0,2342,0,0,1330520,0,1/1/13,12614782.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10191,10,Delfzijl,1299600000,656950000,692300000,692.3,760,0.68,320.85,825,26025,5445,5833,1907,0,0,0,1684.11,4250,2989.2,1590,2341,0,0,26150,19000,968.8,0,1385,948,1579,6,0,0,0,0,0,0,0,0,0,0,11,13.53,3,0,2979.77,3519.12,11835.74,7640.45,254,185.76,135.3,474,8959,13317,5193.63,16513.08,12608,16264.32,4917.12,1,0,0,0,0,0,0,0,2220.2,604800,359853,0,0,0,0,0,0,555575,75000,0,0,0,0,0,0,0,69760,0,0,0,0,0,0,0,73204.64,0,0,0,0,0,0,0,9759,0,0,3600301,0,1/1/13,30674880.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105,1651,Eemsmond,910000000,840700000,868350000,868.35,382,0.52,176.36,440,16083,3773,3091,924,0,0,0,445.05,2550,1765.7,160,1778,0,0,14700,2830,857.6,0,1037,0,845,0,0,0,0,0,0,0,0,0,0,0,13,13.78,4,0,0,3693.04,3058.93,2815.64,211,109.08,116.6,387,10000,19030,0,20171.8,7843,8470.44,0,1,0,0,0,0,0,0,0,832.59,0,376682,0,0,0,0,0,0,343367,51000,0,0,0,0,0,0,0,58260,0,0,0,0,0,0,0,67600.64,0,0,0,0,0,0,0,6636,0,0,1977132,0,1/1/13,17708619.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10322,14,Groningen,12163200000,4105150000,4187400000,4187.4,9645,0.96,2926.46,6431,195418,37759,22633,7321,0,0,0,0,35410,23973.5,10110,20114,263.3,0,223930,484650,9905.6,7435.42,10771,23468,25153,0,0,112,0,0,0,0,0,6100,0.04,0.05,4,4.68,1,0,103880.02,4930.05,124963.69,371000.06,870,932.52,60.84,459,0,7916,2216.48,9103.4,114365,130376.1,32022.2,1,0,0,0,0,0,0,0,0,0,2389702,0,0,0,473748,0,435663,3718882,519960,50000,46932,0,0,7075836,553998,1638500,255149,20000,13306010,280000,0,0,0,265650,255221.98,3989620,0,228952,0,20000,130000,100000,215486,0,0,15510663,0,1/1/13,272830517.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10325,15,Grootegast,739600000,106050000,134750000,134.75,145,0.29,75.93,268,12222,3284,1931,632,0,0,0,0,1450,947.5,50,818,0,24.9,9840,1180,161.6,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.09,2,0,0,1414,1992.41,1055.25,130,61,70.7,103,0,8670,0,8756.7,5025,5025,0,1,0,0,0,0,0,0,0,0,0,72505,0,0,0,0,0,0,277712,33600,0,0,0,0,0,0,0,55353,0,0,0,0,0,0,0,47265.42,0,0,0,0,0,0,0,4684,0,0,1187293,0,1/1/13,10905455.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10348,17,Haren,1889600000,217700000,233800000,233.8,197,0.36,99.13,452,18642,4307,4859,1614,0,0,0,273.93,2140,1175.8,220,872,0,1758.7,15840,6050,2694.4,2211.29,1198,0,638,0,0,0,0,0,0,0,0,0,0,0,7,7.07,2,0,0,1779.62,6918.23,7732.88,117,95,22.22,525,0,4548,0,4593.48,9642,9642,0,1,0,0,0,0,0,0,0,740.08,0,136582,0,0,0,0,0,0,377859,44320,0,0,0,0,0,0,0,61917,0,0,0,0,0,0,0,41495.74,0,0,0,0,0,0,0,9369,0,0,1902152,0,1/1/13,18705193.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10426,18,Hoogezand-Sappemeer,1865600000,361200000,378350000,378.35,1187,0.77,472.9,1197,34523,7642,6918,2235,0,0,0,0,6280,4603.2,3215,4172,0,0,38070,39370,1312.8,465.3,1497,0,1980,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,3120,14861.11,19132.29,245,183,62,656,0,6643,0,6643,16768,16768,0,1,0,0,0,0,0,0,0,140194.1,0,334583,0,0,0,0,0,0,814749,133280,0,0,0,0,0,0,0,85300,0,0,0,0,0,0,0,68036.38,0,0,47621,0,0,0,0,19519,0,0,4845442,0,1/1/13,39460714.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
